match_id,player,Speed in first meter,Acceleration in first meter,Deceleration in last meter,Time to achieve Max Speed,Time needed to move 1 m,Time needed to move 0.5 m
Adelaide_2023_2nd_Sinner_Kokkinakis,SINNER,0.34,6.1,-5.5,0.84,0.6,0.4
Beijing_2023_F_Sinner_Medvedev,SINNER,0.38,5.2,-4.4,0.72,0.6,0.4
Beijing_2023_QF_Dimitrov_Sinner,SINNER,0.43,6.0,-5.3,0.92,0.5,0.3
Beijing_2023_R16_Nishioka_Sinner,SINNER,0.35,6.2,-4.1,0.86,0.6,0.3
Beijing_2023_R32_Evans_Sinner,SINNER,0.42,6.2,-4.8,0.84,0.6,0.3
Beijing_2023_SF_Alcaraz_Sinner,SINNER,0.39,6.5,-4.7,1.0,0.5,0.3
Cincinnati_2021_R32_Sinner_Isner,SINNER,0.59,5.2,-4.2,1.01,0.5,0.3
Cincinnati_2021_R64_Sinner_Delbonis,SINNER,0.38,6.2,-4.5,0.89,0.6,0.3
Cincinnati_2022_1st_Kokkinakis_Sinner,SINNER,0.37,4.9,-5.1,0.78,0.6,0.4
Cincinnati_2022_2nd_Kecmanovic_Sinner,SINNER,0.31,5.9,-4.0,0.88,0.6,0.4
Cincinnati_2022_3rd_Auger-Aliassime_Sinner,SINNER,0.29,6.4,-6.4,1.33,0.5,0.3
Cincinnati_2023_R32_Sinner_Lajovic,SINNER,0.34,7.5,-5.1,1.0,0.6,0.4
Cincinnati_2024_F_Sinner_Tiafoe,SINNER,0.44,6.7,-4.1,1.12,0.6,0.3
Cincinnati_2024_QF_Sinner_Rublev,SINNER,0.47,5.6,-5.4,0.86,0.5,0.3
Cincinnati_2024_R32_Sinner_Michelsen,SINNER,0.29,6.7,-3.1,1.06,0.6,0.4
Cincinnati_2024_SF_Sinner_Zverev,SINNER,0.38,8.3,-5.2,0.88,0.6,0.4
Dubai_2022_2nd_Murray_Sinner,SINNER,0.35,7.5,-4.9,0.97,0.6,0.4
Halle_2023_QF_Bublik_Sinner,SINNER,0.44,4.7,-5.3,0.02,0.7,0.3
Halle_2023_R16_Sonego_Sinner,SINNER,0.41,6.0,-4.6,1.1,0.5,0.3
Halle_2023_R32_Gasquet_Sinner,SINNER,0.27,6.0,-4.5,1.01,0.5,0.3
Indian-Wells_2023_QF_Fritz_Sinner,SINNER,0.41,5.6,-4.3,0.89,0.6,0.4
Indian-Wells_2023_R16_Sinner_Wawrinka,SINNER,0.39,5.9,-5.5,0.75,0.6,0.4
Indian-Wells_2023_R32_Sinner_Mannarino,SINNER,0.41,5.9,-5.1,0.8,0.6,0.4
Indian-Wells_2023_R64_Sinner_Gasquet,SINNER,,,,,,
Indian-Wells_2023_SF_Alcaraz_Sinner,SINNER,0.39,7.4,-4.7,0.91,0.6,0.4
Indian_Wells_2021_R16_Fritz_Sinner,SINNER,0.37,6.9,-4.4,0.91,0.6,0.4
Indian_Wells_2021_R64_Millman_Sinner,SINNER,0.41,6.8,-5.2,0.85,0.6,0.4
Indian_Wells_2022_R32_Sinner_Bonzi,SINNER,0.42,4.2,-4.4,0.83,0.5,0.3
Indian_Wells_2022_R64_Sinner_Djere,SINNER,0.37,5.3,-4.1,0.75,0.6,0.4
Indian_Wells_2024_QF_Lehecka_Sinner,SINNER,0.29,4.9,-3.6,0.73,0.5,0.3
Indian_Wells_2024_R16_Shelton_Sinner,SINNER,0.3,5.8,-3.4,0.82,0.5,0.3
Indian_Wells_2024_R32_Struff_Sinner,SINNER,0.49,5.0,-4.9,0.94,0.4,0.2
Indian_Wells_2024_R64_Kokkinakis_Sinner,SINNER,0.45,5.3,-3.9,1.0,0.5,0.3
Indian_Wells_2024_SF_Sinner_Alcaraz,SINNER,0.44,5.5,-3.6,0.99,0.6,0.3
Madrid_2021_R32_Popyrin_Sinner,SINNER,0.44,7.4,-6.8,0.87,0.6,0.3
Madrid_2021_R64_Pella_Sinner,SINNER,0.34,6.3,-5.9,0.7,0.7,0.4
Madrid_2022_R16_Auger-Aliassime_Sinner,SINNER,0.4,6.7,-6.7,0.84,0.6,0.3
Madrid_2022_R32_de_Minaur_Sinner,SINNER,0.96,6.1,-4.6,0.93,0.5,0.3
Madrid_2022_R64_Paul_Sinner,SINNER,0.44,7.0,-5.8,0.87,0.6,0.4
Madrid_2024_R16_Sinner_Khachanov,SINNER,0.46,6.4,-5.1,1.12,0.5,0.3
Madrid_2024_R32_Sinner_Kotov,SINNER,0.37,8.2,-2.7,1.04,0.7,0.4
Madrid_2024_R64_Sinner_Sonego,SINNER,0.45,5.8,-2.7,1.19,0.5,0.3
Miami_2021_F_Sinner_Hurkacz,SINNER,0.41,5.4,-3.7,0.86,0.6,0.3
Miami_2021_QF_Sinner_Bublik,SINNER,0.5,5.6,-3.6,1.24,0.6,0.4
Miami_2021_R16_Ruusuvuori_Sinner,SINNER,0.35,7.1,-3.9,0.93,0.5,0.3
Miami_2021_R32_Sinner_Khachanov,SINNER,0.71,2.4,-7.1,1.22,0.6,0.4
Miami_2021_R64_Sinner_Gaston,SINNER,0.82,0.6,-7.0,0.16,0.2,0.1
Miami_2021_SF_Bautista_Agut_Sinner,SINNER,0.44,6.5,-5.3,0.9,0.6,0.4
Miami_2022_QF_Sinner_Cerundolo,SINNER,0.44,8.6,-2.8,1.13,0.8,0.6
Miami_2022_R16_Kyrgios_Sinner,SINNER,0.58,4.7,-1.7,1.19,0.6,0.3
Miami_2022_R64_Ruusuvuori_Sinner,SINNER,0.43,5.9,-4.5,0.97,0.6,0.3
Miami_2023_F_Sinner_Medvedev,SINNER,0.45,6.3,-11.8,1.15,0.5,0.3
Miami_2023_QF_Ruusuvuori_Sinner,SINNER,0.36,5.9,-4.2,0.81,0.6,0.3
Miami_2023_R16_Sinner_Rublev,SINNER,0.43,6.4,-4.2,0.92,0.6,0.4
Miami_2023_R32_Sinner_Dimitrov,SINNER,0.32,7.1,-4.3,0.86,0.6,0.4
Miami_2023_R64_Sinner_Djere,SINNER,0.45,5.3,-5.0,1.02,0.6,0.4
Miami_2023_SF_Alcaraz_Sinner,SINNER,0.37,7.1,-4.8,1.0,0.5,0.4
Miami_2024_F_Dimitrov_Sinner,SINNER,0.42,5.0,-3.2,0.99,0.6,0.4
Miami_2024_QF_Machac_Sinner,SINNER,0.53,4.2,-4.4,0.9,0.5,0.3
Miami_2024_R16_O'Connell_Sinner,SINNER,0.52,6.2,-4.1,0.97,0.6,0.3
Miami_2024_R32_Griekspoor_Sinner,SINNER,0.44,5.6,-3.9,1.04,0.6,0.3
Miami_2024_R64_Vavassori_Sinner,SINNER,0.42,7.0,-5.0,0.97,0.6,0.3
Miami_2024_SF_Medvedev_Sinner,SINNER,0.49,5.7,-5.1,0.77,0.6,0.3
Monte-Carlo_2023_2022_SF_Sinner_Rune,SINNER,0.34,5.1,-3.1,0.93,0.5,0.3
Monte-Carlo_2023_QF_Musetti_Sinner,SINNER,0.49,5.6,-5.8,0.94,0.5,0.3
Monte-Carlo_2023_R16_Hurkacz_Sinner,SINNER,0.52,4.9,-5.7,1.05,0.5,0.3
Monte-Carlo_2023_R32_Schwartzman_Sinner,SINNER,0.34,7.7,-6.4,0.92,0.7,0.5
Monte_Carlo_2021_R32_Djokovic_Sinner,SINNER,0.36,6.4,-5.1,0.91,0.6,0.4
Monte_Carlo_2021_R64_Ramos-Vinolas_Sinner,SINNER,0.32,4.8,-4.5,0.91,0.5,0.3
Monte_Carlo_2024_QF_Rune_Sinner,SINNER,0.37,5.1,-4.5,0.95,0.5,0.3
Monte_Carlo_2024_R16_Struff_Sinner,SINNER,0.5,5.2,-14.2,1.25,0.4,0.2
Monte_Carlo_2024_R32_Korda_Sinner,SINNER,0.51,4.6,-5.1,0.94,0.6,0.3
Monte_Carlo_2024_SF_Tsitsipas_Sinner,SINNER,0.39,5.6,-4.8,1.21,0.5,0.3
Paris_2021_R32_Sinner_Alcaraz,SINNER,0.42,4.3,-4.7,0.79,0.5,0.3
Paris_2023_R32_Sinner_McDonald,SINNER,0.38,5.1,-4.2,0.88,0.5,0.3
RG_2023_R64_Sinner_Altmaier,SINNER,0.45,5.2,-4.3,1.1,0.5,0.3
Rogers-cup_2023_F_Sinner_De-Minaur,SINNER,0.2,3.6,-4.4,0.57,0.5,0.3
Rogers-cup_2023_QF_Monfils_Sinner,SINNER,0.31,6.4,-4.6,0.82,0.6,0.4
Rogers-cup_2023_R32_Berrettini_Sinner,SINNER,0.26,4.4,-3.9,0.78,0.4,0.3
Rogers-cup_2023_SF_Paul_Sinner,SINNER,0.41,6.0,-4.8,0.85,0.5,0.3
Rogers_cup_2021_R32_Duckworth_Sinner,SINNER,0.61,5.8,-5.5,0.82,0.7,0.3
Rogers_cup_2022_2nd_Sinner_Mannarino,SINNER,0.39,7.4,-5.6,0.88,0.7,0.4
Rogers_cup_2022_3rd_Sinner_Carreno-Busta,SINNER,0.38,7.0,-5.6,0.84,0.6,0.4
Rogers_cup_2024_QF_Sinner_Rublev,SINNER,0.47,5.6,-4.8,0.73,0.6,0.3
Rogers_cup_2024_R16_Sinner_Tabilo,SINNER,0.46,6.2,-5.5,0.94,0.7,0.5
Rogers_cup_2024_R32_Sinner_Coric,SINNER,0.29,5.9,-4.0,0.86,0.5,0.3
Rome_2021_R32_Sinner_Nadal,SINNER,0.36,5.8,-4.8,0.86,0.6,0.4
Rome_2021_R64_Humbert_Sinner,SINNER,0.27,6.0,-5.6,0.69,0.6,0.4
Rome_2022_QF_Sinner_Tsitsipas,SINNER,0.38,6.6,-5.9,0.9,0.5,0.3
Rome_2022_R16_Krajinovic_Sinner,SINNER,0.39,6.2,-3.7,0.9,0.6,0.4
Rome_2022_R32_Fognini_Sinner,SINNER,0.35,7.8,-5.4,0.95,0.6,0.4
Rome_2022_R64_Martinez_Sinner,SINNER,0.49,8.0,-6.0,1.07,0.6,0.4
Rome_2023_R16_Cerundolo_Sinner,SINNER,0.29,6.6,-7.2,0.83,0.5,0.4
Rome_2023_R32_Shevchenko_Sinner,SINNER,0.47,6.0,-5.6,0.76,0.6,0.4
Rome_2023_R64_Kokkinakis_Sinner,SINNER,0.51,7.1,-4.7,1.0,0.6,0.4
Rotterdam_2023_2nd_Tsitsipas_Sinner,SINNER,0.41,5.9,-3.2,0.9,0.5,0.3
Rotterdam_2023_F_Sinner_Medvedev,SINNER,0.34,6.9,-4.7,0.84,0.6,0.4
Rotterdam_2023_QF_Sinner_Wawrinka,SINNER,0.34,6.5,-4.3,0.86,0.6,0.4
Rotterdam_2023_R32_Bonzi_Sinner,SINNER,0.44,6.3,-4.1,0.88,0.6,0.4
Rotterdam_2023_SF_Sinner_Griekspoor,SINNER,0.28,6.6,-5.1,0.86,0.6,0.4
Rotterdam_2024_F_Sinner_de-Minaur,SINNER,0.39,5.7,-5.0,0.79,0.6,0.4
Rotterdam_2024_QF_Sinner_Raonic,SINNER,0.44,8.6,-4.9,0.98,0.6,0.3
Rotterdam_2024_R16_Sinner_Monfils,SINNER,0.42,5.0,-3.6,0.85,0.6,0.3
Rotterdam_2024_R32_Sinner_van-de-Zandschulp,SINNER,0.35,5.6,-3.9,0.89,0.5,0.3
Rotterdam_2024_SF_Sinner_Griekspoor,SINNER,0.26,4.6,-2.7,0.73,0.5,0.3
Shanghai_2023_R16_Sinner_Shelton,SINNER,0.35,6.1,-4.3,0.87,0.6,0.4
Shanghai_2023_R32_Sinner_Baez,SINNER,0.39,5.5,-5.2,0.79,0.6,0.3
Shanghai_2023_R64_Sinner_Giron,SINNER,0.4,4.7,-4.8,0.86,0.6,0.4
Sofia_2022_SF_Sinner_Rune,SINNER,0.51,6.9,-5.8,1.37,0.5,0.4
Stockholm_2021_2nd_Sinner_Murray,SINNER,0.65,1.4,-1.5,1.15,0.8,0.4
Turin_2023_F_Sinner_Djokovic,SINNER,0.43,4.3,-5.4,0.67,0.5,0.3
Turin_2023_RR_Djokovic_Sinner,SINNER,0.43,4.9,-5.3,0.69,0.5,0.3
Turin_2023_RR_Sinner_Rune,SINNER,0.43,3.4,-5.9,0.73,0.4,0.2
Turin_2023_RR_Sinner_Tsitsipas,SINNER,0.52,4.0,-4.4,1.15,0.5,0.3
Turin_2023_SF_Sinner_Medvedev,SINNER,0.42,6.7,-5.4,0.89,0.6,0.3
US_Open_2022_1st_Altmaier_Sinner,SINNER,0.32,5.6,-5.2,0.81,0.6,0.4
US_Open_2022_2nd_Eubanks_Sinner,SINNER,0.33,5.9,-5.5,0.82,0.5,0.3
US_Open_2022_3rd_Nakashima_Sinner,SINNER,0.28,6.2,-3.4,0.97,0.5,0.3
US_Open_2022_4th_Ivashka_Sinner,SINNER,0.43,6.1,-4.5,0.99,0.6,0.4
US_Open_2022_QF_Sinner_Alcaraz,SINNER,0.38,5.7,-4.2,0.96,0.5,0.3
US_Open_2024_1st_Sinner_Mcdonald,SINNER,0.35,6.7,-4.8,0.95,0.6,0.3
US_Open_2024_F_Sinner_Fritz,SINNER,0.3,5.3,-5.3,0.63,0.6,0.3
US_Open_2024_QF_Sinner_Medvedev,SINNER,0.4,5.6,-4.0,0.79,0.6,0.4
US_Open_2024_R16_Sinner_Paul,SINNER,0.36,5.0,-3.6,0.8,0.5,0.3
US_Open_2024_R32_Sinner_O'connell,SINNER,0.4,7.1,-4.9,0.89,0.5,0.3
US_Open_2024_R64_Sinner_Michelsen,SINNER,0.34,4.2,-5.6,0.67,0.4,0.2
US_Open_2024_SF_Sinner_Draper,SINNER,0.41,5.7,-4.6,0.96,0.6,0.4
Vienna_2023_F_Medvedev_Sinner,SINNER,0.37,5.6,-4.3,0.9,0.5,0.3
Vienna_2023_QF_Tiafoe_Sinner,SINNER,0.39,5.6,-4.7,0.86,0.5,0.3
Vienna_2023_R16_Sonego_Sinner,SINNER,0.53,4.2,-6.7,0.98,0.5,0.2
Vienna_2023_R32_Shelton_Sinner,SINNER,0.35,5.9,-5.3,0.98,0.4,0.3
Vienna_2023_SF_Rublev_Sinner,SINNER,0.49,4.1,-5.7,0.84,0.5,0.2
Wimbledon_2024_1st_Sinner_Hanfmann,SINNER,0.35,5.7,-4.0,0.86,0.7,0.5
Wimbledon_2024_QF_Sinner_Medvedev,SINNER,0.37,6.9,-4.5,0.84,0.6,0.4
Wimbledon_2024_R16_Sinner_Shelton,SINNER,0.32,6.0,-4.9,0.81,0.7,0.4
Wimbledon_2024_R32_Sinner_Kecmanovic,SINNER,0.34,7.1,-3.9,0.91,0.5,0.3
Wimbledon_2024_R64_Sinner_Berrettini,SINNER,0.36,5.3,-3.7,1.29,0.5,0.3
AO_2023_1st_Haddad-Maia_Parrizas-Diaz,HADDAD MAIA,0.44,6.0,-3.7,0.89,0.7,0.4
AO_2024_1st_Fruhvirtova_Haddad-Maia,HADDAD MAIA,0.39,3.6,-3.2,0.78,0.7,0.4
AO_2024_R32_Timofeeva_Haddad-Maia,HADDAD MAIA,0.37,3.9,-3.3,0.88,0.8,0.5
AO_2024_R64_Korneeva_Haddad-Maia,HADDAD MAIA,0.34,4.5,-3.3,0.85,0.7,0.4
Adelaide2_2023_4th_Haddad-Maia_Badosa,HADDAD MAIA,0.51,4.7,-3.7,0.81,0.6,0.3
Adelaide_2024_1st_Haddad-Maia_Pavlyuchenkova,HADDAD MAIA,0.34,5.0,-3.2,0.91,0.7,0.5
Berlin_2024_R32_Haddad-Maia_Alexandrova,HADDAD MAIA,0.12,4.9,-2.9,0.82,0.6,0.4
Cincinnati_2022_1st_Haddad-Maia_Ostapenko,HADDAD MAIA,0.31,6.3,-2.6,1.07,0.6,0.3
Cincinnati_2023_R64_Muchova_Haddad-Maia,HADDAD MAIA,0.42,5.2,-3.6,1.09,0.6,0.3
Cincinnati_2024_R64_Pavlyuchenkova_Haddad-Maia,HADDAD MAIA,0.39,5.7,-5.1,0.75,0.6,0.3
Doha_2024_R64_Haddad-Maia_Wang,HADDAD MAIA,0.37,4.0,-4.5,0.53,0.6,0.3
Dubai_2024_R64_Paolini_Haddad-Maia,HADDAD MAIA,0.49,3.6,-3.1,0.92,0.6,0.3
Eastbourne_2022_SF_Haddad-Maia_Kvitova,HADDAD MAIA,0.48,3.9,-4.6,0.76,0.6,0.3
Indian_Wells_2023_R32_Raducanu_Haddad-Maia,HADDAD MAIA,0.39,4.1,-3.7,0.8,0.6,0.3
Indian_Wells_2023_R64_Siniakova_Haddad-Maia,HADDAD MAIA,0.41,4.0,-3.7,0.87,0.6,0.3
Indian_Wells_2024_R32_Haddad-Maia_Pavlyuchenkova,HADDAD MAIA,0.38,4.9,-4.1,0.85,0.6,0.3
Indian_Wells_2024_R64_Haddad-Maia_Sramkova,HADDAD MAIA,0.37,5.2,-4.2,0.87,0.6,0.4
Madrid_2023_R64_Haddad-Maia_Andreeva,HADDAD MAIA,0.45,5.8,-4.5,0.99,0.7,0.4
Madrid_2024_QF_Swiatek_Haddad-Maia,HADDAD MAIA,0.41,5.9,-3.8,0.89,0.7,0.4
Madrid_2024_R16_Haddad-Maia_Sakkari,HADDAD MAIA,0.46,7.1,-6.1,1.0,0.6,0.3
Madrid_2024_R32_Haddad-Maia_Navarro,HADDAD MAIA,0.37,4.3,-3.9,0.92,0.6,0.4
Madrid_2024_R64_Haddad-Maia_Errani,HADDAD MAIA,0.51,4.8,-4.3,0.84,0.6,0.3
Miami_2022_2nd_Haddad-Maia_Sakkari,HADDAD MAIA,0.49,5.1,-4.7,0.96,0.6,0.3
Miami_2023_R32_Ostapenko_Haddad-Maia,HADDAD MAIA,0.41,4.5,-3.5,0.84,0.6,0.4
Miami_2023_R64_Martincova_Haddad-Maia,HADDAD MAIA,0.39,4.6,-4.2,0.9,0.7,0.4
Miami_2024_R32_Boulter_Haddad-Maia,HADDAD MAIA,0.33,5.0,-4.1,0.84,0.6,0.4
Miami_2024_R64_Parry_Haddad-Maia,HADDAD MAIA,0.46,4.2,-4.4,0.96,0.6,0.3
Rogers_cup_2024_R32_Haddad-Maia_Boulter,HADDAD MAIA,,,,,,
Rogers_cup_2024_R64_Haddad-Maia_Bouzkova,HADDAD MAIA,0.42,4.5,-4.5,0.82,0.6,0.3
Rome_2023_QF_Haddad-Maia_Kalinina,HADDAD MAIA,0.28,4.9,-3.3,0.97,0.6,0.4
Rome_2023_R16_Osorio_Haddad-Maia,HADDAD MAIA,0.35,4.9,-4.4,1.07,0.6,0.4
Rome_2023_R32_Linette_Haddad-Maia,HADDAD MAIA,0.4,5.7,-5.6,0.85,0.6,0.4
Rome_2023_R64_Ruse_Haddad-Maia,HADDAD MAIA,0.44,4.4,-4.6,1.06,0.6,0.3
Rome_2024_R32_Haddad-Maia_Keys,HADDAD MAIA,0.32,5.5,-4.4,0.76,0.6,0.3
Rome_2024_R64_Haddad-Maia_Wang,HADDAD MAIA,0.42,4.9,-4.5,0.9,0.6,0.3
San_Diego_2024_R16_Boulter_Haddad-Maia,HADDAD MAIA,0.35,5.8,-3.7,0.95,0.6,0.4
Toronto_2022_2nd_Haddad-Maia_Fernandez,HADDAD MAIA,0.43,4.2,-4.1,0.86,0.6,0.4
Toronto_2022_3rd_Swiatek_Haddad-Maia,HADDAD MAIA,0.45,4.4,-3.5,0.96,0.5,0.3
Toronto_2022_F_Haddad-Maia_Halep,HADDAD MAIA,0.54,3.9,-4.0,0.9,0.7,0.4
Toronto_2022_QF_Haddad-Maia_Bencic,HADDAD MAIA,0.3,3.8,-2.9,0.9,0.6,0.4
Toronto_2022_SF_Haddad-Maia_Pliskova,HADDAD MAIA,0.48,4.5,-3.2,0.8,0.6,0.4
US_Open_2022_2nd_Haddad-Maia_Andreescu,HADDAD MAIA,0.48,4.3,-4.2,1.11,0.6,0.4
US_Open_2023_1st_Stephens_Haddad-Maia,HADDAD MAIA,0.4,5.0,-3.3,0.94,0.6,0.4
US_Open_2023_R64_Townsend_Haddad-Maia,HADDAD MAIA,0.53,3.9,-3.7,1.02,0.6,0.3
US_Open_2024_1st_Haddad-Maia_Avanesyan,HADDAD MAIA,0.6,4.8,-5.0,0.94,0.6,0.3
US_Open_2024_QF_Haddad-Maia_Muchova,HADDAD MAIA,0.49,4.5,-4.3,0.94,0.6,0.3
US_Open_2024_R16_Wozniacki_Haddad-Maia,HADDAD MAIA,0.45,5.1,-4.2,0.95,0.7,0.4
US_Open_2024_R32_Haddad-Maia_Kalinskaya,HADDAD MAIA,0.3,5.2,-2.7,1.07,0.6,0.4
US_Open_2024_R64_Haddad-Maia_Sorribes-Tormo,HADDAD MAIA,0.59,4.0,-3.4,0.97,0.7,0.4
United_Cup_2023_RR_Haddad-Maia_Trevisan,HADDAD MAIA,0.54,3.0,-4.8,0.73,0.6,0.3
United_Cup_2023_RR_Haddad_Maia_Helgo,HADDAD MAIA,0.44,3.6,-3.5,0.66,0.7,0.4
United_Cup_2024_1st_Sorribes-Tormo_Haddad-Maia,HADDAD MAIA,0.36,4.0,-3.7,0.72,0.7,0.4
United_Cup_2024_1st_Swiatek_Haddad-Maia,HADDAD MAIA,0.39,4.5,-3.9,0.97,0.7,0.4
Wimbledon_2024_1st_Frech_Haddad-Maia,HADDAD MAIA,0.43,4.1,-5.8,0.82,0.6,0.3
Wimbledon_2024_R32_Collins_Haddad-Maia,HADDAD MAIA,0.25,3.8,-3.6,0.81,0.6,0.4
Wimbledon_2024_R64_Osorio_Haddad-Maia,HADDAD MAIA,0.33,5.7,-4.0,1.02,0.6,0.3
Seoul_2024_R16_Tomljanovic_Haddad-Maia,HADDAD MAIA,0.34,5.0,-3.8,0.8,0.6,0.4
AO_2022_1st_Wang_Gauff,GAUFF,0.37,6.1,-4.7,0.82,0.6,0.3
AO_2023_R16_Ostapenko_Gauff,GAUFF,0.53,4.0,-5.6,1.12,0.5,0.3
AO_2024_QF_Kostyuk_Gauff,GAUFF,0.34,4.6,-4.1,0.74,0.7,0.4
AO_2024_R16_Frech_Gauff,GAUFF,0.26,4.8,-3.6,0.78,0.7,0.4
AO_2024_R32_Parks_Gauff,GAUFF,0.32,4.8,-1.8,1.08,0.8,0.5
AO_2024_R64_Dolehide_Gauff,GAUFF,0.44,4.3,-3.6,0.63,0.8,0.4
AO_2024_SF_Gauff_Sabalenka,GAUFF,0.36,5.6,-4.2,0.95,0.7,0.4
Adelaide1_2022_R16_Barty_Gauff,GAUFF,0.34,5.2,-3.2,0.87,0.5,0.3
Adelaide1_2022_R32_Gauff_Eikeri,GAUFF,0.44,4.6,-5.7,0.82,0.5,0.3
Adelaide2_2022_QF_Konjuh_Gauff,GAUFF,0.44,7.5,-6.9,0.81,0.5,0.3
Adelaide2_2022_R16_Kostyuk_Gauff,GAUFF,0.41,6.2,-5.6,0.55,0.6,0.4
Adelaide2_2022_R32_Siniakova_Gauff,GAUFF,0.28,4.4,-3.4,0.85,0.5,0.3
Adelaide2_2022_SF_Gauff_Keys,GAUFF,0.43,7.4,-4.3,0.9,0.5,0.3
Auckland_2023_F_Gauff_Masarova,GAUFF,0.42,6.4,-4.7,0.83,0.6,0.4
Auckland_2023_R32_Gauff_Maria,GAUFF,0.55,6.7,-5.2,1.02,0.7,0.4
Auckland_2023_SF_Gauff_Kovinic,GAUFF,0.41,4.8,-5.0,0.94,0.5,0.3
Berlin_2024_SF_Gauff_Pegula,GAUFF,0.48,5.5,-4.6,0.95,0.6,0.3
Cincinnati_2021_R32_Gauff_Osaka,GAUFF,0.35,6.9,-4.7,0.78,0.6,0.3
Cincinnati_2023_F_Gauff_Muchova,GAUFF,0.32,5.6,-3.7,0.92,0.5,0.3
Cincinnati_2023_QF_Paolini_Gauff,GAUFF,0.39,4.9,-2.8,1.09,0.5,0.3
Cincinnati_2023_R16_Noskova_Gauff,GAUFF,0.46,5.2,-4.4,0.9,0.6,0.4
Cincinnati_2023_R32_Sherif_Gauff,GAUFF,0.43,4.9,-4.4,0.58,0.5,0.3
Cincinnati_2023_SF_Swiatek_Gauff,GAUFF,0.43,5.0,-5.0,0.76,0.5,0.3
Doha_2022_QF_Gauff_Sakkari,GAUFF,0.44,5.1,-3.6,0.71,0.6,0.4
Doha_2022_R16_Badosa_Gauff,GAUFF,0.45,3.8,-4.4,1.0,0.5,0.3
Indian_Wells_2022_R32_Halep_Gauff,GAUFF,0.47,4.7,-4.5,0.75,0.6,0.3
Indian_Wells_2023_QF_Gauff_Sabalenka,GAUFF,0.44,5.4,-4.6,0.9,0.6,0.3
Indian_Wells_2024_QF_Yuan_Gauff,GAUFF,0.46,5.7,-4.3,0.85,0.6,0.3
Indian_Wells_2024_R16_Mertens_Gauff,GAUFF,0.41,5.0,-4.5,0.85,0.5,0.3
Indian_Wells_2024_R32_Bronzetti_Gauff,GAUFF,0.48,5.6,-4.4,0.95,0.6,0.3
Indian_Wells_2024_R64_Burel_Gauff,GAUFF,0.49,4.9,-6.2,0.76,0.6,0.4
Indian_Wells_2024_SF_Gauff_Sakkari,GAUFF,0.43,5.9,-4.4,0.92,0.6,0.4
Madrid_2022_R16_Gauff_Halep,GAUFF,0.49,6.5,-5.2,0.94,0.7,0.4
Madrid_2022_R32_Gauff_Putintseva,GAUFF,0.51,5.5,-5.1,1.01,0.6,0.3
Madrid_2022_R64_Gauff_Schmiedlova,GAUFF,0.56,6.6,-4.6,0.66,0.6,0.4
Madrid_2023_R32_Gauff_Badosa,GAUFF,0.46,4.5,-5.1,0.74,0.6,0.4
Madrid_2023_R64_Gauff_Burillo-Escorihuela,GAUFF,0.62,6.2,-5.6,0.9,0.6,0.4
Madrid_2024_R16_Gauff_Keys,GAUFF,0.5,5.0,-3.7,0.94,0.6,0.3
Madrid_2024_R32_Gauff_Yastremska,GAUFF,0.69,6.2,-4.6,1.08,0.6,0.3
Madrid_2024_R64_Gauff_Rus,GAUFF,0.46,6.0,-4.0,1.12,0.7,0.4
Miami_2022_R16_Gauff_Swiatek,GAUFF,0.35,5.8,-2.6,0.88,0.5,0.3
