match_id,set_number,player,Speed in first meter,Acceleration in first meter,Deceleration in last meter,Time to achieve Max Speed,Time needed to move 1 m,Time needed to move 0.5 m
Cincinnati_2024_QF_Swiatek_Andreeva,2,SWIATEK,0.16,6.8,-5.8,0.66,0.7,0.5
Cincinnati_2024_QF_Swiatek_Andreeva,3,SWIATEK,0.57,6.4,-4.6,1.07,0.6,0.3
Cincinnati_2024_R16_Swiatek_Kostyuk,1,SWIATEK,0.57,7.5,-5.1,1.63,0.6,0.4
Cincinnati_2024_R16_Swiatek_Kostyuk,2,SWIATEK,0.58,5.6,-2.9,1.08,0.5,0.2
Cincinnati_2024_R32_Swiatek_Gracheva,1,SWIATEK,0.28,5.8,-3.4,0.8,0.7,0.5
Cincinnati_2024_R32_Swiatek_Gracheva,2,SWIATEK,0.46,5.7,-4.4,0.95,0.6,0.3
Cincinnati_2024_R32_Swiatek_Gracheva,3,SWIATEK,0.42,2.8,-4.2,0.69,0.5,0.2
Cincinnati_2024_SF_Swiatek_Sabalenka,1,SWIATEK,,,,,,
Cincinnati_2024_SF_Swiatek_Sabalenka,2,SWIATEK,0.56,5.4,-4.3,1.35,0.6,0.4
Doha_2023_SF_Swiatek_Kudermetova,1,SWIATEK,0.45,5.1,-4.7,0.72,0.5,0.3
Doha_2023_SF_Swiatek_Kudermetova,2,SWIATEK,0.47,6.6,-5.1,1.01,0.6,0.4
Doha_2024_F_Swiatek_Rybakina,1,SWIATEK,0.43,5.7,-4.6,0.97,0.6,0.3
Doha_2024_F_Swiatek_Rybakina,2,SWIATEK,0.5,3.1,-5.3,0.79,0.5,0.2
Doha_2024_QF_Swiatek_Azarenka,1,SWIATEK,0.43,5.4,-6.6,0.84,0.5,0.3
Doha_2024_QF_Swiatek_Azarenka,2,SWIATEK,0.51,4.0,-7.1,0.98,0.5,0.3
Doha_2024_R16_Swiatek_Alexandrova,1,SWIATEK,,,,,,
Doha_2024_R16_Swiatek_Alexandrova,2,SWIATEK,0.51,6.1,-5.8,0.97,0.6,0.4
Doha_2024_R32_Swiatek_Cirstea,1,SWIATEK,0.35,5.5,-3.2,0.99,0.6,0.4
Doha_2024_R32_Swiatek_Cirstea,2,SWIATEK,0.47,3.9,-4.8,0.75,0.5,0.2
Doha_2025_QF_Rybakina_Swiatek,1,SWIATEK,0.45,5.3,-5.0,0.95,0.6,0.4
Doha_2025_QF_Rybakina_Swiatek,2,SWIATEK,0.43,2.8,-5.7,0.87,0.4,0.2
Doha_2025_R16_Noskova_Swiatek,1,SWIATEK,0.48,5.1,-5.2,1.13,0.7,0.4
Doha_2025_R16_Noskova_Swiatek,2,SWIATEK,0.02,6.0,-3.8,0.76,0.3,0.2
Doha_2025_R16_Noskova_Swiatek,3,SWIATEK,0.51,7.4,-7.0,0.99,0.5,0.3
Doha_2025_SF_Ostapenko_Swiatek,1,SWIATEK,,,,,,
Doha_2025_SF_Ostapenko_Swiatek,2,SWIATEK,0.84,1.5,-2.7,2.04,0.3,0.2
Dubai_2023_F_Swiatek_Krejcikova,1,SWIATEK,0.37,8.2,-2.8,1.0,0.7,0.5
Dubai_2023_F_Swiatek_Krejcikova,2,SWIATEK,0.36,4.3,-6.0,0.02,0.5,0.2
Dubai_2023_R16_Swiatek_Samsonova,1,SWIATEK,0.52,7.2,-4.2,1.0,0.6,0.3
Dubai_2023_R16_Swiatek_Samsonova,2,SWIATEK,0.13,5.9,-5.1,0.75,0.5,0.3
Dubai_2023_R32_Swiatek_Fernandez,1,SWIATEK,,,,,,
Dubai_2023_R32_Swiatek_Fernandez,2,SWIATEK,,,,,,
Dubai_2023_SF_Swiatek_Gauff,1,SWIATEK,0.41,5.0,-4.2,0.97,0.5,0.3
Dubai_2023_SF_Swiatek_Gauff,2,SWIATEK,,,,,,
Dubai_2024_QF_Swiatek_Zheng,1,SWIATEK,0.15,5.3,-3.4,0.85,0.6,0.4
Dubai_2024_QF_Swiatek_Zheng,2,SWIATEK,0.18,3.6,-5.9,0.71,0.4,0.2
Dubai_2024_R16_Swiatek_Svitolina,1,SWIATEK,0.37,5.8,-3.1,0.83,0.7,0.4
Dubai_2024_R16_Swiatek_Svitolina,2,SWIATEK,0.31,4.6,-4.0,0.98,0.5,0.3
Dubai_2024_R32_Swiatek_Stephens,1,SWIATEK,0.5,1.1,-5.7,0.64,0.4,0.2
Dubai_2024_R32_Swiatek_Stephens,2,SWIATEK,0.3,6.6,-5.4,0.81,0.6,0.3
Dubai_2024_SF_Swiatek_Kalinskaya,1,SWIATEK,0.4,6.9,-4.8,0.82,0.6,0.3
Dubai_2024_SF_Swiatek_Kalinskaya,2,SWIATEK,0.38,3.8,-2.4,0.79,0.5,0.3
Dubai_2025_QF_Andreeva_Swiatek,1,SWIATEK,0.59,3.3,-3.4,1.01,0.4,0.3
Dubai_2025_QF_Andreeva_Swiatek,2,SWIATEK,0.35,5.3,-2.4,1.1,0.6,0.3
Dubai_2025_R16_Yastremska_Swiatek,1,SWIATEK,0.65,3.9,-3.9,0.62,0.6,0.3
Dubai_2025_R16_Yastremska_Swiatek,2,SWIATEK,0.52,5.1,-4.6,0.74,0.5,0.2
Dubai_2025_R32_Azarenka_Swiatek,1,SWIATEK,0.23,4.9,-3.4,0.66,0.6,0.3
Dubai_2025_R32_Azarenka_Swiatek,2,SWIATEK,0.57,3.0,-2.9,1.18,0.5,0.3
Indian_Wells_2024_F_Swiatek_Sakkari,1,SWIATEK,0.36,4.7,-5.2,0.76,0.6,0.4
Indian_Wells_2024_F_Swiatek_Sakkari,2,SWIATEK,0.35,3.6,-4.5,0.79,0.6,0.4
Indian_Wells_2024_QF_Swiatek_Wozniacki,1,SWIATEK,0.44,4.9,-6.6,0.78,0.5,0.3
Indian_Wells_2024_QF_Swiatek_Wozniacki,2,SWIATEK,0.31,3.9,-3.2,1.1,0.7,0.4
Indian_Wells_2024_R16_Swiatek_Putintseva,1,SWIATEK,0.52,5.0,-3.9,1.28,0.5,0.3
Indian_Wells_2024_R16_Swiatek_Putintseva,2,SWIATEK,0.2,5.0,-2.4,0.77,0.5,0.3
Indian_Wells_2024_R32_Swiatek_Noskova,1,SWIATEK,0.44,8.7,-5.0,1.14,0.7,0.5
Indian_Wells_2024_R32_Swiatek_Noskova,2,SWIATEK,0.36,6.8,-2.9,1.32,0.7,0.5
Indian_Wells_2024_R64_Swiatek_Collins,1,SWIATEK,0.29,5.6,-4.3,0.85,0.6,0.3
Indian_Wells_2024_R64_Swiatek_Collins,2,SWIATEK,0.46,9.0,-6.0,0.88,0.6,0.3
Indian_Wells_2024_SF_Swiatek_Kostyuk,1,SWIATEK,0.62,2.0,-5.2,1.06,0.4,0.2
Indian_Wells_2024_SF_Swiatek_Kostyuk,2,SWIATEK,1.15,1.7,-6.6,1.01,0.4,0.2
Indian_Wells_2025_QF_Zheng_Swiatek,1,SWIATEK,0.33,4.8,-5.7,0.43,0.4,0.3
Indian_Wells_2025_QF_Zheng_Swiatek,2,SWIATEK,0.5,4.0,-4.1,0.7,0.5,0.3
Indian_Wells_2025_R16_Muchova_Swiatek,1,SWIATEK,0.44,4.0,-4.4,0.84,0.6,0.3
Indian_Wells_2025_R16_Muchova_Swiatek,2,SWIATEK,0.51,3.0,-3.2,0.89,0.5,0.2
Indian_Wells_2025_R32_Yastremska_Swiatek,1,SWIATEK,0.4,1.8,-7.0,0.83,0.4,0.2
Indian_Wells_2025_R32_Yastremska_Swiatek,2,SWIATEK,0.43,2.3,-5.3,0.48,0.5,0.3
Indian_Wells_2025_R64_Garcia_Swiatek,1,SWIATEK,0.58,5.2,-6.7,1.32,0.8,0.3
Indian_Wells_2025_R64_Garcia_Swiatek,2,SWIATEK,0.52,3.4,-3.6,1.44,0.5,0.3
Indian_Wells_2025_SF_Andreeva_Swiatek,1,SWIATEK,0.57,5.8,-4.8,0.85,0.5,0.3
Indian_Wells_2025_SF_Andreeva_Swiatek,2,SWIATEK,0.52,1.2,-3.1,0.94,0.4,0.2
Indian_Wells_2025_SF_Andreeva_Swiatek,3,SWIATEK,0.55,3.5,-4.3,1.26,0.6,0.3
Madrid_2023_F_Swiatek_Sabalenka,1,SWIATEK,0.42,4.9,-4.6,0.94,0.5,0.3
Madrid_2023_F_Swiatek_Sabalenka,2,SWIATEK,0.25,4.2,-4.2,0.64,0.4,0.2
Madrid_2023_F_Swiatek_Sabalenka,3,SWIATEK,0.42,5.5,-2.5,0.9,0.6,0.4
Madrid_2023_QF_Swiatek_Martic,1,SWIATEK,0.39,2.4,-5.2,1.21,0.6,0.3
Madrid_2023_QF_Swiatek_Martic,2,SWIATEK,0.24,5.7,-4.5,0.78,0.6,0.4
Madrid_2023_R16_Swiatek_Alexandrova,1,SWIATEK,0.48,4.8,-3.4,0.9,0.6,0.3
Madrid_2023_R16_Swiatek_Alexandrova,2,SWIATEK,0.66,5.9,-4.9,1.01,0.6,0.3
Madrid_2023_R16_Swiatek_Alexandrova,3,SWIATEK,0.37,6.8,-4.4,0.62,0.5,0.4
Madrid_2023_R32_Swiatek_Pera,1,SWIATEK,0.51,6.7,-4.1,1.41,0.6,0.3
Madrid_2023_R32_Swiatek_Pera,2,SWIATEK,0.36,9.3,-3.5,1.6,0.7,0.6
Madrid_2023_R64_Swiatek_Grabher,1,SWIATEK,0.37,5.5,-4.0,0.82,0.6,0.4
Madrid_2023_R64_Swiatek_Grabher,2,SWIATEK,0.3,9.4,-5.6,0.78,0.6,0.5
Madrid_2023_SF_Swiatek_Kudermetova,1,SWIATEK,0.32,6.5,-4.9,0.89,0.6,0.3
Madrid_2023_SF_Swiatek_Kudermetova,2,SWIATEK,0.32,6.4,-3.8,0.72,0.6,0.3
Madrid_2024_F_Swiatek_Sabalenka,1,SWIATEK,0.4,7.8,-3.9,0.82,0.7,0.5
Madrid_2024_F_Swiatek_Sabalenka,2,SWIATEK,0.29,6.6,-4.2,0.73,0.5,0.3
Madrid_2024_F_Swiatek_Sabalenka,3,SWIATEK,0.39,6.1,-5.6,0.93,0.6,0.3
Madrid_2024_QF_Swiatek_Haddad-Maia,1,SWIATEK,0.94,6.4,-5.0,0.98,0.8,0.5
Madrid_2024_QF_Swiatek_Haddad-Maia,2,SWIATEK,0.43,7.8,-3.7,1.04,0.6,0.3
Madrid_2024_QF_Swiatek_Haddad-Maia,3,SWIATEK,0.48,7.1,-3.7,1.02,0.6,0.3
Madrid_2024_R16_Swiatek_Sorribes-Tormo,1,SWIATEK,0.85,5.1,-4.3,1.16,0.8,0.5
Madrid_2024_R16_Swiatek_Sorribes-Tormo,2,SWIATEK,,,,,,
Madrid_2024_R32_Swiatek_Cirstea,1,SWIATEK,0.23,7.0,-5.9,0.77,0.5,0.3
Madrid_2024_R32_Swiatek_Cirstea,2,SWIATEK,0.34,6.3,-4.1,0.81,0.7,0.4
Madrid_2024_R64_Swiatek_Wang,1,SWIATEK,0.4,5.2,-4.8,0.9,0.5,0.3
Madrid_2024_R64_Swiatek_Wang,2,SWIATEK,0.5,4.1,-3.6,0.77,0.6,0.3
Madrid_2024_SF_Swiatek_Keys,1,SWIATEK,0.25,6.2,-3.3,0.71,0.6,0.3
Madrid_2024_SF_Swiatek_Keys,2,SWIATEK,0.3,6.1,-4.4,0.97,0.6,0.4
Miami_2024_R16_Swiatek_Alexandrova,1,SWIATEK,0.4,4.4,-2.7,1.11,0.6,0.4
Miami_2024_R16_Swiatek_Alexandrova,2,SWIATEK,0.51,4.3,-5.0,0.56,0.5,0.3
Miami_2024_R32_Swiatek_Noskova,1,SWIATEK,0.56,4.0,-3.9,0.98,0.6,0.3
Miami_2024_R32_Swiatek_Noskova,2,SWIATEK,0.4,5.7,-4.1,0.92,0.6,0.4
Miami_2024_R32_Swiatek_Noskova,3,SWIATEK,0.42,5.4,-5.8,0.88,0.5,0.3
Miami_2024_R64_Swiatek_Giorgi,1,SWIATEK,0.35,4.7,-4.6,0.86,0.6,0.4
Miami_2024_R64_Swiatek_Giorgi,2,SWIATEK,0.31,7.5,-6.5,0.72,0.5,0.4
Miami_2025_QF_Eala_Swiatek,1,SWIATEK,0.58,4.4,-3.7,1.06,0.6,0.3
Miami_2025_QF_Eala_Swiatek,2,SWIATEK,0.57,4.1,-5.4,0.99,0.5,0.2
Miami_2025_R16_Svitolina_Swiatek,1,SWIATEK,0.41,4.5,-3.1,1.07,0.5,0.3
Miami_2025_R16_Svitolina_Swiatek,2,SWIATEK,0.39,4.5,-3.6,0.9,0.6,0.3
Miami_2025_R32_Mertens_Swiatek,1,SWIATEK,0.32,5.4,-3.8,0.78,0.6,0.3
Miami_2025_R32_Mertens_Swiatek,2,SWIATEK,0.5,6.1,-3.7,0.98,0.5,0.2
Miami_2025_R64_Garcia_Swiatek,1,SWIATEK,0.37,6.9,-1.9,1.19,0.6,0.3
Miami_2025_R64_Garcia_Swiatek,2,SWIATEK,0.39,2.3,-5.6,0.95,0.5,0.3
RG_2024_1st_Swiatek_Jeanjean,1,SWIATEK,0.32,6.5,-4.1,1.1,0.7,0.5
RG_2024_1st_Swiatek_Jeanjean,2,SWIATEK,0.52,7.6,-6.8,1.32,0.6,0.2
RG_2024_F_Swiatek_Paolini,1,SWIATEK,0.44,3.0,-4.0,0.76,0.5,0.3
RG_2024_F_Swiatek_Paolini,2,SWIATEK,0.43,7.7,-5.6,0.92,0.6,0.4
RG_2024_QF_Swiatek_Vondrousova,1,SWIATEK,0.69,4.5,-5.2,0.54,0.5,0.3
RG_2024_QF_Swiatek_Vondrousova,2,SWIATEK,0.03,3.6,-3.5,0.83,0.5,0.3
RG_2024_R16_Swiatek_Potapova,1,SWIATEK,0.17,5.9,-4.2,0.83,0.5,0.3
RG_2024_R16_Swiatek_Potapova,2,SWIATEK,0.51,1.2,-6.4,0.24,0.4,0.2
RG_2024_R32_Swiatek_Bouzkova,1,SWIATEK,0.44,5.4,-5.2,0.67,0.5,0.3
RG_2024_R32_Swiatek_Bouzkova,2,SWIATEK,0.47,4.0,-5.2,0.83,0.5,0.3
RG_2024_R64_Swiatek_Osaka,1,SWIATEK,0.3,5.8,-3.9,0.72,0.6,0.4
RG_2024_R64_Swiatek_Osaka,2,SWIATEK,,,,,,
RG_2024_R64_Swiatek_Osaka,3,SWIATEK,0.46,5.2,-4.0,0.92,0.5,0.3
RG_2024_SF_Swiatek_Gauff,1,SWIATEK,0.25,5.2,-3.7,0.71,0.6,0.4
RG_2024_SF_Swiatek_Gauff,2,SWIATEK,0.5,5.1,-5.6,1.01,0.5,0.3
Rome_2023_R16_Swiatek_Vekic,1,SWIATEK,0.71,3.7,-3.0,1.09,0.6,0.4
Rome_2023_R16_Swiatek_Vekic,2,SWIATEK,0.43,6.0,-5.5,0.99,0.6,0.3
Rome_2023_R32_Swiatek_Tsurenko,1,SWIATEK,0.49,5.3,-4.3,0.89,0.5,0.2
Rome_2023_R32_Swiatek_Tsurenko,2,SWIATEK,0.34,4.8,-3.7,0.9,0.5,0.3
Rome_2024_F_Swiatek_Sabalenka,1,SWIATEK,0.29,7.4,-5.5,0.77,0.5,0.3
Rome_2024_F_Swiatek_Sabalenka,2,SWIATEK,0.45,4.2,-5.6,0.58,0.5,0.2
Rome_2024_QF_Swiatek_Keys,1,SWIATEK,0.32,6.0,-0.5,1.48,0.5,0.3
Rome_2024_QF_Swiatek_Keys,2,SWIATEK,0.31,3.8,-5.8,0.86,0.5,0.3
Rome_2024_R16_Swiatek_Kerber,1,SWIATEK,0.45,4.4,-4.1,0.84,0.6,0.3
Rome_2024_R16_Swiatek_Kerber,2,SWIATEK,0.71,2.8,-4.7,0.78,0.6,0.3
Rome_2024_R32_Swiatek_Putintseva,1,SWIATEK,0.53,4.3,-5.3,1.55,0.5,0.2
Rome_2024_R32_Swiatek_Putintseva,2,SWIATEK,0.32,2.4,-3.7,0.39,0.7,0.4
Rome_2024_R64_Swiatek_Pera,1,SWIATEK,0.41,4.1,-3.4,0.45,0.6,0.3
Rome_2024_R64_Swiatek_Pera,2,SWIATEK,0.02,5.1,-4.9,0.41,0.5,0.3
Rome_2024_SF_Swiatek_Gauff,1,SWIATEK,0.4,6.3,-4.6,0.8,0.6,0.3
Rome_2024_SF_Swiatek_Gauff,2,SWIATEK,,,,,,
US_Open_2024_1st_Swiatek_Rakhimova,1,SWIATEK,0.6,2.8,-4.8,0.73,0.6,0.3
US_Open_2024_1st_Swiatek_Rakhimova,2,SWIATEK,0.39,4.2,-6.0,0.92,0.5,0.3
US_Open_2024_QF_Swiatek_Pegula,1,SWIATEK,0.28,4.8,-5.4,0.75,0.6,0.4
US_Open_2024_QF_Swiatek_Pegula,2,SWIATEK,0.43,6.4,-5.0,0.96,0.6,0.4
US_Open_2024_R16_Swiatek_Samsonova,1,SWIATEK,0.49,6.4,-2.9,1.01,0.7,0.4
US_Open_2024_R16_Swiatek_Samsonova,2,SWIATEK,0.53,6.9,-4.7,1.46,0.6,0.4
US_Open_2024_R32_Swiatek_Pavlyuchenkova,1,SWIATEK,0.59,6.5,-4.2,1.11,0.6,0.3
US_Open_2024_R32_Swiatek_Pavlyuchenkova,2,SWIATEK,0.41,3.5,-3.2,0.96,0.6,0.3
US_Open_2024_R64_Swiatek_Shibahara,1,SWIATEK,2.22,3.8,-3.6,2.88,0.9,0.4
US_Open_2024_R64_Swiatek_Shibahara,2,SWIATEK,0.59,1.4,-3.6,1.09,0.5,0.3
United_Cup_2024_1st_Swiatek_Haddad-Maia,1,SWIATEK,0.43,5.9,-4.8,0.8,0.7,0.4
United_Cup_2024_1st_Swiatek_Haddad-Maia,2,SWIATEK,0.41,5.8,-4.0,0.87,0.7,0.4
United_Cup_2024_1st_Swiatek_Sorribes-Tormo,1,SWIATEK,0.44,6.2,-6.0,0.96,0.7,0.3
United_Cup_2024_1st_Swiatek_Sorribes-Tormo,2,SWIATEK,0.47,5.0,-3.8,1.04,0.6,0.4
United_Cup_2024_QF_Swiatek_Kerber,1,SWIATEK,0.4,7.1,-4.6,1.04,0.7,0.4
United_Cup_2024_QF_Swiatek_Kerber,2,SWIATEK,0.38,6.5,-4.1,0.98,0.7,0.5
United_Cup_2024_R16_Swiatek_Garcia,1,SWIATEK,0.34,3.3,-3.5,1.22,0.8,0.5
United_Cup_2024_R16_Swiatek_Garcia,2,SWIATEK,,,,,,
United_Cup_2024_R16_Swiatek_Garcia,3,SWIATEK,0.36,4.9,-2.6,0.98,0.6,0.4
United_Cup_2024_R32_Swiatek_Zheng,1,SWIATEK,0.4,4.5,-4.0,0.65,0.7,0.4
United_Cup_2024_R32_Swiatek_Zheng,2,SWIATEK,0.35,4.7,-3.0,0.85,0.7,0.4
United_Cup_2025_QF_Gauff_Swiatek,1,SWIATEK,0.38,4.2,-2.9,0.71,0.8,0.4
United_Cup_2025_QF_Gauff_Swiatek,2,SWIATEK,0.36,4.9,-2.7,1.15,0.6,0.4
United_Cup_2025_R16_Rybakina_Swiatek,1,SWIATEK,0.45,4.4,-3.8,0.8,0.7,0.4
United_Cup_2025_R16_Rybakina_Swiatek,2,SWIATEK,0.41,4.3,-3.4,0.74,0.6,0.3
United_Cup_2025_R32_Swiatek_Boulter,1,SWIATEK,0.38,3.4,-3.7,0.66,0.7,0.4
United_Cup_2025_R32_Swiatek_Boulter,2,SWIATEK,0.44,4.9,-4.0,0.78,0.8,0.4
United_Cup_2025_R32_Swiatek_Boulter,3,SWIATEK,0.35,3.1,-2.5,0.54,0.6,0.3
United_Cup_2025_R64_Swiatek_Helgø,1,SWIATEK,0.36,3.9,-3.0,0.98,0.8,0.5
United_Cup_2025_R64_Swiatek_Helgø,2,SWIATEK,,,,,,
United_Cup_2025_R64_Swiatek_Muchova,1,SWIATEK,0.32,2.5,-1.5,1.16,0.7,0.4
United_Cup_2025_R64_Swiatek_Muchova,2,SWIATEK,0.42,5.7,-4.2,1.46,0.7,0.4
WTA_Finals_2024_R32_Swiatek_Gauff,1,SWIATEK,0.38,5.4,-2.4,0.88,0.5,0.3
WTA_Finals_2024_R32_Swiatek_Gauff,2,SWIATEK,0.51,5.9,-2.9,0.91,0.5,0.3
WTA_Finals_2024_R32_Swiatek_Kasatkina,1,SWIATEK,0.66,6.0,-2.9,1.14,0.6,0.4
WTA_Finals_2024_R32_Swiatek_Kasatkina,2,SWIATEK,0.44,7.4,-4.0,0.9,0.7,0.5
WTA_Finals_2024_R32_Swiatek_Krejcikova,1,SWIATEK,0.43,6.6,-6.5,0.83,0.6,0.4
WTA_Finals_2024_R32_Swiatek_Krejcikova,2,SWIATEK,0.29,4.9,-3.0,0.86,0.5,0.3
WTA_Finals_2024_R32_Swiatek_Krejcikova,3,SWIATEK,0.55,1.3,-3.7,0.67,0.5,0.3
AO_2024_1st_Swiatek_Kenin,ALL,SWIATEK,0.28,5.5,-3.6,0.96,0.7,0.4
AO_2024_R32_Swiatek_Noskova,ALL,SWIATEK,0.29,4.0,-3.9,0.71,0.6,0.3
AO_2024_R64_Swiatek_Collins,ALL,SWIATEK,0.37,4.6,-4.3,0.87,0.6,0.3
AO_2025_1st_Siniakova_Swiatek,ALL,SWIATEK,0.4,4.6,-4.0,0.85,0.8,0.4
AO_2025_QF_Navarro_Swiatek,ALL,SWIATEK,0.4,4.6,-3.7,0.92,0.7,0.4
AO_2025_R16_Lys_Swiatek,ALL,SWIATEK,0.37,5.1,-3.8,0.73,0.7,0.4
AO_2025_R32_Raducanu_Swiatek,ALL,SWIATEK,0.4,4.1,-3.7,0.73,0.7,0.4
AO_2025_R64_Sramkova_Swiatek,ALL,SWIATEK,0.43,5.0,-3.9,0.9,0.7,0.4
AO_2025_SF_Keys_Swiatek,ALL,SWIATEK,0.39,4.3,-4.3,1.15,0.6,0.4
Cincinnati_2024_QF_Swiatek_Andreeva,ALL,SWIATEK,0.49,7.0,-4.7,1.03,0.6,0.3
Cincinnati_2024_R16_Swiatek_Kostyuk,ALL,SWIATEK,0.58,6.5,-4.0,1.36,0.6,0.3
Cincinnati_2024_R32_Swiatek_Gracheva,ALL,SWIATEK,0.43,4.7,-4.3,0.85,0.5,0.3
Cincinnati_2024_SF_Swiatek_Sabalenka,ALL,SWIATEK,0.56,5.4,-4.3,1.35,0.6,0.4
Doha_2023_SF_Swiatek_Kudermetova,ALL,SWIATEK,0.47,6.4,-5.0,0.97,0.6,0.3
Doha_2024_F_Swiatek_Rybakina,ALL,SWIATEK,0.47,4.2,-5.0,0.87,0.5,0.3
Doha_2024_QF_Swiatek_Azarenka,ALL,SWIATEK,0.46,5.0,-6.7,0.88,0.5,0.3
Doha_2024_R16_Swiatek_Alexandrova,ALL,SWIATEK,0.51,6.1,-5.8,0.97,0.6,0.4
Doha_2024_R32_Swiatek_Cirstea,ALL,SWIATEK,0.44,4.4,-4.3,0.82,0.5,0.3
Doha_2025_QF_Rybakina_Swiatek,ALL,SWIATEK,0.44,4.1,-5.3,0.91,0.5,0.3
Doha_2025_R16_Noskova_Swiatek,ALL,SWIATEK,0.44,5.9,-5.6,1.04,0.6,0.3
Doha_2025_SF_Ostapenko_Swiatek,ALL,SWIATEK,0.84,1.5,-2.7,2.04,0.3,0.2
Dubai_2023_F_Swiatek_Krejcikova,ALL,SWIATEK,0.37,6.9,-3.9,0.67,0.6,0.4
Dubai_2023_R16_Swiatek_Samsonova,ALL,SWIATEK,0.26,6.3,-4.8,0.83,0.5,0.3
Dubai_2023_R32_Swiatek_Fernandez,ALL,SWIATEK,,,,,,
Dubai_2023_SF_Swiatek_Gauff,ALL,SWIATEK,0.41,5.0,-4.2,0.97,0.5,0.3
Dubai_2024_QF_Swiatek_Zheng,ALL,SWIATEK,0.16,4.6,-4.4,0.8,0.5,0.3
Dubai_2024_R16_Swiatek_Svitolina,ALL,SWIATEK,0.32,4.8,-3.9,0.96,0.5,0.3
Dubai_2024_R32_Swiatek_Stephens,ALL,SWIATEK,0.4,3.8,-5.5,0.72,0.5,0.3
Dubai_2024_SF_Swiatek_Kalinskaya,ALL,SWIATEK,0.39,5.5,-3.7,0.81,0.6,0.3
Dubai_2025_QF_Andreeva_Swiatek,ALL,SWIATEK,0.46,4.5,-2.9,1.06,0.6,0.3
Dubai_2025_R16_Yastremska_Swiatek,ALL,SWIATEK,0.6,4.3,-4.1,0.66,0.6,0.3
Dubai_2025_R32_Azarenka_Swiatek,ALL,SWIATEK,0.36,4.2,-3.2,0.86,0.5,0.3
Indian_Wells_2024_F_Swiatek_Sakkari,ALL,SWIATEK,0.36,4.3,-4.9,0.77,0.6,0.4
Indian_Wells_2024_QF_Swiatek_Wozniacki,ALL,SWIATEK,0.41,4.7,-5.8,0.85,0.5,0.3
Indian_Wells_2024_R16_Swiatek_Putintseva,ALL,SWIATEK,0.31,5.0,-2.9,0.94,0.5,0.3
Indian_Wells_2024_R32_Swiatek_Noskova,ALL,SWIATEK,0.4,7.8,-4.0,1.23,0.7,0.5
Indian_Wells_2024_R64_Swiatek_Collins,ALL,SWIATEK,0.31,6.1,-4.6,0.86,0.6,0.3
Indian_Wells_2024_SF_Swiatek_Kostyuk,ALL,SWIATEK,1.02,1.7,-6.2,1.02,0.4,0.2
Indian_Wells_2025_QF_Zheng_Swiatek,ALL,SWIATEK,0.44,4.3,-4.6,0.61,0.5,0.3
Indian_Wells_2025_R16_Muchova_Swiatek,ALL,SWIATEK,0.47,3.5,-3.9,0.86,0.5,0.3
